Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Date,Year,Month,Week,Day,Hour,DayOfWeek,IsWeekend,IsMonthEnd,DayOfWeek_sin,DayOfWeek_cos,Hour_sin,Hour_cos,Cleaned_Description,IsLargeAmount,IsVeryLargeAmount,AmountLevel,IsRecurring,Type_Adjustment,Type_Fee,Type_Return,Type_Sale,ZScore_Amount,IsOutlier_Z,PromptText
2023-09-24,11/23/2023,APPLE.COM/BILL,Shopping,sale,-6.39,,2023-11-22,2023,11,47,22,0,2,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,applecombill,0,0,very_large,1,False,False,False,True,0.5318027943454957,0,"Transaction de -6.39€ chez applecombill, de type Sale, catégorie Shopping"
2023-09-24,9/28/2023,BURGER KING #11164,Food & Drink,sale,-11.07,,2023-09-26,2023,9,39,26,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,burger king 11164,0,0,large,1,False,False,False,True,0.4621903042158553,0,"Transaction de -11.07€ chez burger king 11164, de type Sale, catégorie Food & Drink"
2023-09-25,12/7/2023,APPLE.COM/BILL,Shopping,sale,-3.19,,2023-12-06,2023,12,49,6,0,2,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,applecombill,0,0,very_large,1,False,False,False,True,0.5794010781948226,0,"Transaction de -3.19€ chez applecombill, de type Sale, catégorie Shopping"
2023-09-25,10/25/2023,NAYAX VENDING 47,Food & Drink,sale,-5.5,,2023-10-24,2023,10,43,24,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,nayax vending 47,0,0,very_large,1,False,False,False,True,0.5450410670410898,0,"Transaction de -5.5€ chez nayax vending 47, de type Sale, catégorie Food & Drink"
2023-09-25,10/22/2023,WENDYS 10547,Food & Drink,sale,-10.03,,2023-10-19,2023,10,42,19,0,3,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,wendys 10547,0,0,large,1,False,False,False,True,0.47765974646688647,0,"Transaction de -10.03€ chez wendys 10547, de type Sale, catégorie Food & Drink"
2023-09-25,12/3/2023,Amazon.com*QZ1084W73,Shopping,sale,-27.71,,2023-12-02,2023,12,48,2,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,amazoncomqz1084w73,0,0,medium,1,False,False,False,True,0.21467922819935586,0,"Transaction de -27.71€ chez amazoncomqz1084w73, de type Sale, catégorie Shopping"
2023-09-26,12/19/2023,SPEEDWAY 01829 705 CORWIN,Gas,sale,-1.69,,2023-12-18,2023,12,51,18,0,0,0,0,0.0,1.0,0.0,1.0,speedway 01829 705 corwin,0,0,very_large,1,False,False,False,True,0.6017127737491945,0,"Transaction de -1.69€ chez speedway 01829 705 corwin, de type Sale, catégorie Gas"
2023-09-26,12/10/2023,KROGER,Groceries,sale,-89.26,,2023-12-07,2023,12,49,7,0,3,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,kroger,0,0,small,1,False,False,False,True,-0.7008440127150396,0,"Transaction de -89.26€ chez kroger, de type Sale, catégorie Groceries"
2023-09-26,10/26/2023,FIVE STAR FOOD,Food & Drink,sale,-3.65,,2023-10-25,2023,10,43,25,0,2,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,five star food,0,0,very_large,1,False,False,False,True,0.5725588248914819,0,"Transaction de -3.65€ chez five star food, de type Sale, catégorie Food & Drink"
2023-09-26,11/19/2023,AMZN Mktp US*A44N41PP3,Shopping,sale,-6.39,,2023-11-19,2023,11,46,19,0,6,1,0,-0.7818314824680299,0.6234898018587334,0.0,1.0,amzn mktp usa44n41pp3,0,0,very_large,1,False,False,False,True,0.5318027943454957,0,"Transaction de -6.39€ chez amzn mktp usa44n41pp3, de type Sale, catégorie Shopping"
2023-09-26,11/12/2023,AMZN Mktp US*9Y0CG1Z63,Shopping,sale,-32.54,,2023-11-11,2023,11,45,11,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,amzn mktp us9y0cg1z63,0,0,medium,1,False,False,False,True,0.14283556851427825,0,"Transaction de -32.54€ chez amzn mktp us9y0cg1z63, de type Sale, catégorie Shopping"
2023-09-26,12/15/2023,Amazon.com*197ED8CG3,Shopping,sale,-19.09,,2023-12-14,2023,12,50,14,0,3,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,amazoncom197ed8cg3,0,0,large,0,False,False,False,True,0.34289710531848,0,"Transaction de -19.09€ chez amazoncom197ed8cg3, de type Sale, catégorie Shopping"
2023-09-26,10/10/2023,SPEEDWAY 01829 705 CORWIN,Gas,sale,-48.77,,2023-10-09,2023,10,41,9,0,0,0,0,0.0,1.0,0.0,1.0,speedway 01829 705 corwin,0,0,small,1,False,False,False,True,-0.09857697738402624,0,"Transaction de -48.77€ chez speedway 01829 705 corwin, de type Sale, catégorie Gas"
2023-09-26,10/13/2023,AMZN Mktp US*TP1H41ZC0,Shopping,sale,-40.98,,2023-10-12,2023,10,41,12,0,3,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,amzn mktp ustp1h41zc0,0,0,medium,0,False,False,False,True,0.017295094861678816,0,"Transaction de -40.98€ chez amzn mktp ustp1h41zc0, de type Sale, catégorie Shopping"
2023-09-26,9/27/2023,EB MAGGIANOS CINCINNA,Food & Drink,sale,-132.37,,2023-09-27,2023,9,39,27,0,2,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,eb maggianos cincinna,0,0,small,0,False,False,False,True,-1.3420821429476892,0,"Transaction de -132.37€ chez eb maggianos cincinna, de type Sale, catégorie Food & Drink"
2023-09-26,12/24/2023,MARSHALLS #1172,Shopping,sale,-49.06,,2023-12-22,2023,12,51,22,0,4,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,marshalls 1172,0,0,small,1,False,False,False,True,-0.10289057185787145,0,"Transaction de -49.06€ chez marshalls 1172, de type Sale, catégorie Shopping"
2023-09-26,11/26/2023,AMZN Mktp US*P43IN0E43,Shopping,sale,-22.4,,2023-11-25,2023,11,47,25,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,amzn mktp usp43in0e43,0,0,medium,0,False,False,False,True,0.29366263046183255,0,"Transaction de -22.4€ chez amzn mktp usp43in0e43, de type Sale, catégorie Shopping"
2023-09-26,12/24/2023,MICHAELS STORES 1352,Shopping,sale,-49.72,,2023-12-23,2023,12,51,23,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,michaels stores 1352,0,0,small,0,False,False,False,True,-0.11270771790179507,0,"Transaction de -49.72€ chez michaels stores 1352, de type Sale, catégorie Shopping"
2023-09-26,12/20/2023,DD DOORDASH PANDAEXPR,Food & Drink,sale,-19.49,,2023-12-19,2023,12,51,19,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,dd doordash pandaexpr,0,0,large,1,False,False,False,True,0.33694731983731413,0,"Transaction de -19.49€ chez dd doordash pandaexpr, de type Sale, catégorie Food & Drink"
2023-09-26,11/28/2023,AMZN Mktp US,Shopping,return,29.88,,2023-11-28,2023,11,48,28,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,amzn mktp us,1,1,very_large,1,False,False,True,False,1.0712995928502094,0,"Transaction de 29.88€ chez amzn mktp us, de type Return, catégorie Shopping"
2023-09-26,12/6/2023,PANERA BREAD #204922 O,Food & Drink,sale,-8.37,,2023-12-06,2023,12,49,6,0,2,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,panera bread 204922 o,0,0,very_large,1,False,False,False,True,0.5023513562137248,0,"Transaction de -8.37€ chez panera bread 204922 o, de type Sale, catégorie Food & Drink"
2023-09-26,11/17/2023,AMZN Mktp US*2820T0043,Shopping,sale,-22.67,,2023-11-16,2023,11,46,16,0,3,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,amzn mktp us2820t0043,0,0,medium,1,False,False,False,True,0.2896465252620456,0,"Transaction de -22.67€ chez amzn mktp us2820t0043, de type Sale, catégorie Shopping"
2023-09-27,11/5/2023,SPEEDWAY 01829 705 CORWIN,Gas,sale,-1.39,,2023-11-04,2023,11,44,4,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,speedway 01829 705 corwin,0,0,very_large,1,False,False,False,True,0.6061751128600689,0,"Transaction de -1.39€ chez speedway 01829 705 corwin, de type Sale, catégorie Gas"
2023-09-27,12/11/2023,Amazon.com*J49IE8H43,Shopping,sale,-10.12,,2023-12-10,2023,12,49,10,0,6,1,0,-0.7818314824680299,0.6234898018587334,0.0,1.0,amazoncomj49ie8h43,0,0,large,1,False,False,False,True,0.47632104473362424,0,"Transaction de -10.12€ chez amazoncomj49ie8h43, de type Sale, catégorie Shopping"
2023-09-27,11/21/2023,Offer:Kroger (Gas&amp;Conv,Fees & Adjustments,adjustment,2.45,,2023-11-21,2023,11,47,21,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,offerkroger gasampconv,1,0,very_large,0,True,False,False,False,0.6632930534792612,0,"Transaction de 2.45€ chez offerkroger gasampconv, de type Adjustment, catégorie Fees & Adjustments"
2023-09-27,10/30/2023,DD DOORDASH SONICDRIV,Food & Drink,sale,-27.82,,2023-10-29,2023,10,43,29,0,6,1,0,-0.7818314824680299,0.6234898018587334,0.0,1.0,dd doordash sonicdriv,0,0,medium,0,False,False,False,True,0.21304303719203527,0,"Transaction de -27.82€ chez dd doordash sonicdriv, de type Sale, catégorie Food & Drink"
2023-09-27,11/29/2023,SPI*DUKE-ENERGY,Bills & Utilities,sale,-190.27,,2023-11-28,2023,11,48,28,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,spidukeenergy,0,0,small,1,False,False,False,True,-2.203313591346446,0,"Transaction de -190.27€ chez spidukeenergy, de type Sale, catégorie Bills & Utilities"
2023-09-27,10/27/2023,LUCY B GOODE LLC,Entertainment,sale,-25.0,,2023-10-25,2023,10,43,25,0,2,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,lucy b goode llc,0,0,medium,0,False,False,False,True,0.2549890248342545,0,"Transaction de -25.0€ chez lucy b goode llc, de type Sale, catégorie Entertainment"
2023-09-27,12/15/2023,KROGER FUEL 4383,Gas,sale,-37.47,,2023-12-14,2023,12,50,14,0,3,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,kroger fuel 4383,0,0,medium,1,False,False,False,True,0.06950446245890914,0,"Transaction de -37.47€ chez kroger fuel 4383, de type Sale, catégorie Gas"
2023-09-27,11/26/2023,AMZN Mktp US*0T3RW7K53,Shopping,sale,-81.99,,2023-11-25,2023,11,47,25,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,amzn mktp us0t3rw7k53,0,0,small,0,False,False,False,True,-0.5927066615948501,0,"Transaction de -81.99€ chez amzn mktp us0t3rw7k53, de type Sale, catégorie Shopping"
2023-09-27,12/7/2023,PANERA BREAD #204922 O,Food & Drink,sale,-10.51,,2023-12-07,2023,12,49,7,0,3,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,panera bread 204922 o,0,0,large,1,False,False,False,True,0.4705200038894875,0,"Transaction de -10.51€ chez panera bread 204922 o, de type Sale, catégorie Food & Drink"
2023-09-27,12/3/2023,SPEEDWAY 01829 705 CORWIN,Gas,sale,-27.87,,2023-12-01,2023,12,48,1,0,4,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,speedway 01829 705 corwin,0,0,medium,1,False,False,False,True,0.21229931400688953,0,"Transaction de -27.87€ chez speedway 01829 705 corwin, de type Sale, catégorie Gas"
2023-09-27,12/6/2023,Amazon.com*T49CB8BU3,Shopping,sale,-8.53,,2023-12-05,2023,12,49,5,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,amazoncomt49cb8bu3,0,0,very_large,1,False,False,False,True,0.4999714420212584,0,"Transaction de -8.53€ chez amazoncomt49cb8bu3, de type Sale, catégorie Shopping"
2023-09-27,12/7/2023,APPLE.COM/BILL,Shopping,sale,-3.19,,2023-12-06,2023,12,49,6,0,2,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,applecombill,0,0,very_large,1,False,False,False,True,0.5794010781948226,0,"Transaction de -3.19€ chez applecombill, de type Sale, catégorie Shopping"
2023-09-27,12/22/2023,UDON THAI &amp; SUSHI,Food & Drink,sale,-16.0,,2023-12-20,2023,12,51,20,0,2,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,udon thai amp sushi,0,0,large,1,False,False,False,True,0.3888591981604862,0,"Transaction de -16.0€ chez udon thai amp sushi, de type Sale, catégorie Food & Drink"
2023-09-27,10/15/2023,Amazon.com*TP3S03AC2,Shopping,sale,-56.58,,2023-10-13,2023,10,41,13,0,4,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,amazoncomtp3s03ac2,0,0,small,1,False,False,False,True,-0.2147465389037894,0,"Transaction de -56.58€ chez amazoncomtp3s03ac2, de type Sale, catégorie Shopping"
2023-09-27,11/26/2023,KROGER #5408,Groceries,return,3.99,,2023-11-24,2023,11,47,24,0,4,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,kroger 5408,1,0,very_large,1,False,False,True,False,0.6861997275817496,0,"Transaction de 3.99€ chez kroger 5408, de type Return, catégorie Groceries"
2023-09-27,12/13/2023,Amazon.com*Z60YH2093,Shopping,sale,-13.07,,2023-12-12,2023,12,50,12,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,amazoncomz60yh2093,0,0,large,0,False,False,False,True,0.43244137681002603,0,"Transaction de -13.07€ chez amazoncomz60yh2093, de type Sale, catégorie Shopping"
2023-09-27,11/17/2023,CVS/PHARMACY #02964,Health & Wellness,sale,-18.32,,2023-11-16,2023,11,46,16,0,3,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,cvspharmacy 02964,0,0,large,1,False,False,False,True,0.35435044236972424,0,"Transaction de -18.32€ chez cvspharmacy 02964, de type Sale, catégorie Health & Wellness"
2023-09-27,12/19/2023,Amazon.com*PD3FJ13U3,Shopping,sale,-11.21,,2023-12-18,2023,12,51,18,0,0,0,0,0.0,1.0,0.0,1.0,amazoncompd3fj13u3,0,0,large,1,False,False,False,True,0.46010787929744723,0,"Transaction de -11.21€ chez amazoncompd3fj13u3, de type Sale, catégorie Shopping"
2023-09-27,12/10/2023,APPLE.COM/BILL,Shopping,sale,-10.64,,2023-12-08,2023,12,49,8,0,4,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,applecombill,0,0,large,1,False,False,False,True,0.4685863236081086,0,"Transaction de -10.64€ chez applecombill, de type Sale, catégorie Shopping"
2023-09-28,12/18/2023,COBBLESTONE BROOKVILLE,Travel,sale,-12.0,,2023-12-16,2023,12,50,16,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,cobblestone brookville,0,0,large,1,False,False,False,True,0.4483570529721447,0,"Transaction de -12.0€ chez cobblestone brookville, de type Sale, catégorie Travel"
2023-09-28,11/19/2023,CHIPOTLE ONLINE,Food & Drink,sale,-58.52,,2023-11-19,2023,11,46,19,0,6,1,0,-0.7818314824680299,0.6234898018587334,0.0,1.0,chipotle online,0,0,small,1,False,False,False,True,-0.24360299848744385,0,"Transaction de -58.52€ chez chipotle online, de type Sale, catégorie Food & Drink"
2023-09-28,10/25/2023,THE ALABAMA GULF COAST Z,Entertainment,sale,-4.35,,2023-10-24,2023,10,43,24,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,the alabama gulf coast z,0,0,very_large,1,False,False,False,True,0.5621467002994416,0,"Transaction de -4.35€ chez the alabama gulf coast z, de type Sale, catégorie Entertainment"
2023-09-28,12/12/2023,MCDONALD'S F7033,Food & Drink,sale,-22.53,,2023-12-11,2023,12,50,11,0,0,0,0,0.0,1.0,0.0,1.0,mcdonalds f7033,0,0,medium,1,False,False,False,True,0.29172895018045364,0,"Transaction de -22.53€ chez mcdonalds f7033, de type Sale, catégorie Food & Drink"
2023-09-28,10/8/2023,UNITED DAIRY FARMERS,Gas,sale,-9.57,,2023-10-06,2023,10,40,6,0,4,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,united dairy farmers,0,0,very_large,1,False,False,False,True,0.48450199977022723,0,"Transaction de -9.57€ chez united dairy farmers, de type Sale, catégorie Gas"
2023-09-28,10/29/2023,CIRCLE K # 21561,Gas,sale,-12.99,,2023-10-28,2023,10,43,28,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,circle k  21561,0,0,large,0,False,False,False,True,0.4336313339062592,0,"Transaction de -12.99€ chez circle k  21561, de type Sale, catégorie Gas"
2023-09-28,10/18/2023,BIG-BOY-LOVELAND-MILL #0169,Food & Drink,sale,-52.52,,2023-10-16,2023,10,42,16,0,0,0,0,0.0,1.0,0.0,1.0,bigboylovelandmill 0169,0,0,small,1,False,False,False,True,-0.15435621626995608,0,"Transaction de -52.52€ chez bigboylovelandmill 0169, de type Sale, catégorie Food & Drink"
2023-09-28,12/13/2023,AMZN Mktp US*HN15O89R3,Shopping,sale,-10.65,,2023-12-12,2023,12,50,12,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,amzn mktp ushn15o89r3,0,0,large,0,False,False,False,True,0.46843757897107946,0,"Transaction de -10.65€ chez amzn mktp ushn15o89r3, de type Sale, catégorie Shopping"
2023-09-28,11/13/2023,TARGET.COM  *,Shopping,sale,-14.75,,2023-11-12,2023,11,45,12,0,6,1,0,-0.7818314824680299,0.6234898018587334,0.0,1.0,targetcom  ,0,0,large,1,False,False,False,True,0.40745227778912946,0,"Transaction de -14.75€ chez targetcom  , de type Sale, catégorie Shopping"
2023-09-28,11/19/2023,PANERA BREAD #204922 O,Food & Drink,sale,-9.98,,2023-11-18,2023,11,46,18,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,panera bread 204922 o,0,0,large,1,False,False,False,True,0.4784034696520323,0,"Transaction de -9.98€ chez panera bread 204922 o, de type Sale, catégorie Food & Drink"
2023-09-28,11/27/2023,AMZN Mktp US*NI53N1XV3,Shopping,sale,-45.65,,2023-11-26,2023,11,47,26,0,6,1,0,-0.7818314824680299,0.6234898018587334,0.0,1.0,amzn mktp usni53n1xv3,0,0,medium,1,False,False,False,True,-0.052168650630932525,0,"Transaction de -45.65€ chez amzn mktp usni53n1xv3, de type Sale, catégorie Shopping"
2023-09-28,10/25/2023,STARBUCKS STORE 24727,Food & Drink,sale,-10.89,,2023-10-23,2023,10,43,23,0,0,0,0,0.0,1.0,0.0,1.0,starbucks store 24727,0,0,large,0,False,False,False,True,0.4648677076823799,0,"Transaction de -10.89€ chez starbucks store 24727, de type Sale, catégorie Food & Drink"
2023-09-28,10/25/2023,THE ALABAMA GULF COAST Z,Entertainment,sale,-4.35,,2023-10-24,2023,10,43,24,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,the alabama gulf coast z,0,0,very_large,1,False,False,False,True,0.5621467002994416,0,"Transaction de -4.35€ chez the alabama gulf coast z, de type Sale, catégorie Entertainment"
2023-09-28,11/26/2023,THE WEB EXTREME ENTERTAIN,Entertainment,sale,-25.0,,2023-11-24,2023,11,47,24,0,4,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,the web extreme entertain,0,0,medium,0,False,False,False,True,0.2549890248342545,0,"Transaction de -25.0€ chez the web extreme entertain, de type Sale, catégorie Entertainment"
2023-09-28,11/17/2023,CHIPOTLE 1667,Food & Drink,sale,-15.0,,2023-11-16,2023,11,46,16,0,3,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,chipotle 1667,0,0,large,1,False,False,False,True,0.4037336618634008,0,"Transaction de -15.0€ chez chipotle 1667, de type Sale, catégorie Food & Drink"
2023-09-28,11/21/2023,PANERA BREAD #204922 K,Food & Drink,sale,-28.62,,2023-11-19,2023,11,46,19,0,6,1,0,-0.7818314824680299,0.6234898018587334,0.0,1.0,panera bread 204922 k,0,0,medium,1,False,False,False,True,0.20114346622970355,0,"Transaction de -28.62€ chez panera bread 204922 k, de type Sale, catégorie Food & Drink"
2023-09-28,11/12/2023,TARGET        00024869,Shopping,sale,-39.76,,2023-11-10,2023,11,45,10,0,4,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,target        00024869,0,0,medium,1,False,False,False,True,0.035441940579234645,0,"Transaction de -39.76€ chez target        00024869, de type Sale, catégorie Shopping"
2023-09-28,10/4/2023,BODY MAGIC,Health & Wellness,sale,-128.43,,2023-10-03,2023,10,40,3,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,body magic,0,0,small,0,False,False,False,True,-1.2834767559582057,0,"Transaction de -128.43€ chez body magic, de type Sale, catégorie Health & Wellness"
2023-09-28,12/3/2023,Amazon.com*QZ1084W73,Shopping,sale,-27.71,,2023-12-02,2023,12,48,2,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,amazoncomqz1084w73,0,0,medium,1,False,False,False,True,0.21467922819935586,0,"Transaction de -27.71€ chez amazoncomqz1084w73, de type Sale, catégorie Shopping"
2023-09-29,10/27/2023,DA CAR WASH,Automotive,sale,-15.0,,2023-10-26,2023,10,43,26,0,3,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,da car wash,0,0,large,0,False,False,False,True,0.4037336618634008,0,"Transaction de -15.0€ chez da car wash, de type Sale, catégorie Automotive"
2023-09-29,12/21/2023,AMZN Mktp US*YR26Q2BC3,Shopping,sale,-42.67,,2023-12-20,2023,12,51,20,0,2,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,amzn mktp usyr26q2bc3,0,0,medium,1,False,False,False,True,-0.007842748796246978,0,"Transaction de -42.67€ chez amzn mktp usyr26q2bc3, de type Sale, catégorie Shopping"
2023-09-29,12/3/2023,Amazon.com*HH9F56ZR3,Shopping,sale,-5.86,,2023-12-02,2023,12,48,2,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,amazoncomhh9f56zr3,0,0,very_large,0,False,False,False,True,0.5396862601080405,0,"Transaction de -5.86€ chez amazoncomhh9f56zr3, de type Sale, catégorie Shopping"
2023-09-29,11/19/2023,APPLE.COM/BILL,Shopping,sale,-1.06,,2023-11-18,2023,11,46,18,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,applecombill,0,0,very_large,1,False,False,False,True,0.6110836858820307,0,"Transaction de -1.06€ chez applecombill, de type Sale, catégorie Shopping"
2023-09-29,10/19/2023,MCDONALD'S F7033,Food & Drink,sale,-4.97,,2023-10-18,2023,10,42,18,0,2,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,mcdonalds f7033,0,0,very_large,1,False,False,False,True,0.5529245328036345,0,"Transaction de -4.97€ chez mcdonalds f7033, de type Sale, catégorie Food & Drink"
2023-09-29,12/12/2023,THE DISNEY BUNDLE CREDIT,Fees & Adjustments,adjustment,14.99,,2023-12-12,2023,12,50,12,0,1,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,the disney bundle credit,1,0,very_large,1,True,False,False,False,0.8498188283138105,0,"Transaction de 14.99€ chez the disney bundle credit, de type Adjustment, catégorie Fees & Adjustments"
2023-09-29,11/12/2023,AMZN Mktp US,Shopping,return,13.17,,2023-11-11,2023,11,45,11,0,5,1,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,amzn mktp us,1,0,very_large,1,False,False,True,False,0.8227473043745059,0,"Transaction de 13.17€ chez amzn mktp us, de type Return, catégorie Shopping"
2023-09-29,11/21/2023,KROGER 408,Groceries,sale,-16.33,,2023-11-20,2023,11,47,20,0,0,0,0,0.0,1.0,0.0,1.0,kroger 408,0,0,large,1,False,False,False,True,0.38395062513852435,0,"Transaction de -16.33€ chez kroger 408, de type Sale, catégorie Groceries"
2023-09-29,11/26/2023,ZAP*ZAPPOS.COM,Shopping,return,30.53,,2023-11-24,2023,11,47,24,0,4,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,zapzapposcom,1,1,very_large,1,False,False,True,False,1.0809679942571038,0,"Transaction de 30.53€ chez zapzapposcom, de type Return, catégorie Shopping"
